event_id,start,player1,player2,odds1,odds2,prob1,prob2,bookmaker,sport_key,region
fb8cd7a94839c1d237425b0f8762125f,2026-05-09T09:00:00Z,Andrey Rublev,Miomir Kecmanovic,1.42,3.05,0.6823,0.3177,Coolbet,tennis_atp_italian_open,eu
9191fb2d5dcb79eff11f988c7d679146,2026-05-09T09:00:00Z,Cameron Norrie,Thiago Agustin Tirante,1.64,2.52,0.6058,0.3942,Betfair,tennis_atp_italian_open,eu
2dc0301b3408a55555b9156ca5792fdb,2026-05-09T09:00:00Z,Corentin Moutet,Pablo Llamas Ruiz,1.73,2.32,0.5728,0.4272,Betfair,tennis_atp_italian_open,eu
0bdc66c73e1d0b346c9999530a57d477,2026-05-09T09:00:00Z,Daniil Medvedev,Tomas Machac,1.6,2.2,0.5789,0.4211,Unibet (FR),tennis_atp_italian_open,eu
25d6160b9d7a87d0e3e97e5d8eaa9e86,2026-05-09T10:10:00Z,Felix Auger-Aliassime,Mariano Navone,1.51,2.55,0.6281,0.3719,Unibet (SE),tennis_atp_italian_open,eu
08580bcf21d762a68a8a35e16277b2f8,2026-05-09T10:10:00Z,Marin Cilic,Martin Landaluce,1.57,2.38,0.6025,0.3975,888sport,tennis_atp_italian_open,eu
4f38b133c55138f677251fd9df8c10c7,2026-05-09T11:00:00Z,Mattia Bellucci,Tomas Martin Etcheverry,3.43,1.36,0.2839,0.7161,Pinnacle,tennis_atp_italian_open,eu
ca5e076240f6a4ae8fc6ca49c5925f38,2026-05-09T11:20:00Z,Alejandro Davidovich Fokina,Cristian Garin,1.66,2.46,0.5971,0.4029,Betfair,tennis_atp_italian_open,eu
c1f311e99285492ae14b1d68de999ceb,2026-05-09T11:20:00Z,Ben Shelton,Nikoloz Basilashvili,1.28,4,0.7576,0.2424,Coolbet,tennis_atp_italian_open,eu
e46cf04e9767aa7f5bf8d5ce800a1ef0,2026-05-09T11:20:00Z,Flavio Cobolli,Terence Atmane,1.35,3.45,0.7188,0.2813,Coolbet,tennis_atp_italian_open,eu
c86537faacd2f161d548167996f1efc3,2026-05-09T12:30:00Z,Brandon Nakashima,Roberto Bautista Agut,1.56,2.72,0.6355,0.3645,Betfair,tennis_atp_italian_open,eu
49594ffce1bc5348193139c39a02c38d,2026-05-09T12:30:00Z,Frances Tiafoe,Ignacio Buse,2.35,1.58,0.4020,0.5980,Winamax (FR),tennis_atp_italian_open,eu
2407ab1073052f5efe0fd80890faab5f,2026-05-09T12:30:00Z,Hamad Medjedovic,Joao Fonseca,2.68,1.57,0.3694,0.6306,Betfair,tennis_atp_italian_open,eu
